Asset Type,Inspection Date,Depth,Cons Location Score,Flood Design Score,INV DATE,PACP Shape,PACP Height,PACP Mater,CONST DATE,Length,Encoded Hydro Group,Precipitation,Risk
structure,43965.67,2.9,0,2,38978,C,36,RCP,37622,34.58698681,2,3.706,17.264
pipe,43973.67,10,0,2,39274,C,48,RCP,37222,114.9407296,2,3.714,3.264
structure,43777.67,3.5,6,2,39393,C,15,RCP,37326,36.48487617,2,3.739,3.3728
structure,43777.67,3.5,6,2,39393,C,15,RCP,37326,78.35577658,2,3.739,5.3312
structure,43777.67,4,6,2,39393,C,15,RCP,37326,291.0607931,2,3.739,6.0656
structure,43777.67,6.5,6,2,39393,C,18,RCP,37326,274.7119407,2,3.74,4.5968
pipe,44337.67,4,0,0,39422,C,18,RCP,37888,98.4565738,3,3.739,18.1844
pipe,44337.67,4.2,0,0,39422,C,18,RCP,37888,114.1731228,3,3.739,12.5736
pipe,44337.67,4.5,0,0,39422,C,18,RCP,37888,303.9292803,3,3.739,14.5824
pipe,44337.67,5,0,0,39422,C,15,RCP,37888,30.91807281,3,3.739,5.976
pipe,43608.67,7.1,10,0,43774,C,48,RCP,35971,24.1648161,2,3.72,3.192
pipe,43836.71,2,0,2,40612,C,15,RCP,40603,14.98396963,1,3.816,3.128
pipe,44333.67,5.3,0,2,44090,C,42,CMP,31229,46.64691681,4,3.766,8.9744
pipe,44147.71,5,8,2,40420,C,24,RCP,30046,194.1391357,4,3.689,33.276
pipe,43913.67,3,6,2,40421,C,18,RCP,28856,128.8591323,4,3.696,2.9648
pipe,43937.67,4,6,2,40417,C,15,RCP,30046,135.8207767,4,3.691,18.044
structure,44340.67,6.7,0,0,40429,C,24,RCP,35431,126.4765558,4,3.695,3.3432
structure,43766.67,2.2,0,2,44102,C,15,RCP,26299,46.19641405,2,3.764,4.3054
pipe,44368.67,3.5,6,2,39966,C,15,RCP,39966,72.37093777,1,3.704,30.6
pipe,42923.67,9,10,10,39968,R,60,RCP,39968,118.9517242,4,3.708,42.432
pipe,42923.67,12,8,10,39968,R,60,RCP,25204,91.41809354,4,3.712,47.328
pipe,42992.67,10,8,0,40133,C,60,CMP,32689,56.69405541,2,3.82,11.8104
structure,43955.67,8.5,8,2,40570,C,15,RCP,40570,44.04904652,1,3.786,22.776
structure,44355.67,3.25,0,2,40570,C,15,RCP,33420,35.13829167,1,3.775,20.9902
pipe,43977.67,10,6,0,40582,O,60,RCP,28660,73.76861501,1,3.803,23.328
structure,43467.67,8.7,8,2,40577,C,15,RCP,40577,40.89971262,4,3.779,30.456
structure,43467.67,9,8,2,40577,C,15,RCP,40577,54.45613631,4,3.786,38.232
pipe,43173.67,7,8,3,44329,R,72,RCP,35611,24.95256082,2,3.747,7.5168
structure,43917.67,3.3,6,2,43136,C,24,RCP,31832,78.48756647,4,3.792,4.5632
structure,43917.67,2,6,2,43136,C,18,RCP,31832,23.61405746,4,3.792,6.0168
pipe,44138.71,7,0,2,43136,C,36,RCP,31832,142.5015109,4,3.792,18.044
pipe,43945.67,6,6,2,40828,C,24,RCP,36168,128.5533854,1,3.718,19.292
pipe,44452.67,2.5,8,8,40828,C,12,RCP,36747,84.68158063,2,3.756,8.2928
pipe,44307.67,4.5,0,2,44138,C,36,RCP,38279,160.6124483,2,3.749,18.044
pipe,43959.67,4,0,2,43214,C,18,RCP,29619,129.4527466,1,3.79,9.776
pipe,44495.67,3,0,0,40840,C,15,RCP,29402,114.4033663,1,3.79,9.9712
pipe,43966.67,5,6,3,39455,C,24,RCP,37680,86.81917926,1,3.823,28.5376
pipe,43966.67,5,6,3,40842,C,15,RCP,34880,11.27714261,1,3.823,7.4896
pipe,44006.67,3.5,0,2,42775,C,18,RCP,29701,90.88572679,1,3.795,14.0768
pipe,44006.67,4,0,2,42775,C,15,RCP,29701,48.46242889,1,3.795,16.6208
pipe,44006.67,4,0,2,42775,C,24,RCP,29701,25.75529871,1,3.795,5.8712
structure,43955.67,6.5,6,2,40611,C,18,RCP,40611,25.2376549,4,3.722,6.7712
structure,43955.67,6.5,6,2,40611,C,15,RCP,40611,16.50868445,4,3.722,15.8672
pipe,44357.67,3,0,2,43327,C,24,RCP,40870,170.4712815,1,3.795,6.968
structure,44216.71,20,0,2,42782,C,15,RCP,27210,130.340895,1,3.798,16.3184
pipe,43711.67,11.7,6,3,40568,C,72,RCP,40568,96.25599122,4,3.752,6.6096
pipe,43950.67,3.5,0,2,40568,C,18,RCP,20637,8.904522636,4,3.752,3.128
pipe,43950.67,3,0,2,40568,C,15,RCP,20637,29.1755952,4,3.752,28.4548
structure,43810.67,9.69,8,2,40575,C,24,RCP,36208,63.76508935,1,3.757,8.1696
structure,43810.67,0,0,2,40575,C,24,RCP,36208,71.19441879,1,3.757,19.0688
structure,43810.67,8.1,0,2,40575,C,24,RCP,36208,60.70889309,1,3.757,16.6944
structure,43810.67,7.6,4,2,40575,C,24,RCP,36208,25.80291927,1,3.757,6.1088
structure,43810.67,6,0,2,40575,C,24,RCP,36208,136.0832935,1,3.757,4.784
structure,44482.67,6,0,2,40582,C,30,RCP,33420,198.1228399,4,3.765,15.848
structure,44321.67,1.6,0,0,40589,C,12,RCP,20090,109.5653888,4,3.755,2.002
structure,44102.67,3.5,0,2,40591,C,15,RCP,40589,47.61340449,4,3.761,13.2886
structure,44420.67,10,0,2,40595,C,15,RCP,35065,51.56234041,4,3.746,18.4992
pipe,43950.67,5,0,2,40596,C,18,RCP,20637,289.9939257,4,3.752,18.0056
pipe,44112.67,3,0,2,39639,C,24,RCP,37918,46.08212948,2,3.663,4.1528
